ahlan.	hello
mousi9a.	music.
musiqa.	music.
mosi9a.	music.
rasm.	painting.
kamanja.	violin.
3oud.	oud.
chTi7.	dance.
chTih.	dance.
ghna.	singing.
ghona.	singing.
chi3r.	poetry.
fenn.	art.
fann.	art.
fnn.	art.
msr7.	theater.
masra7.	theater.
masrah.	theater.
mesre7.	theater.
tSfi9.	applause.
taSfi9.	applause.
tSwira.	photo.
tSwera.	photo.
taSwira.	photo.
ta9afa.	culture.
taqafa.	culture.
chita.	brush.
khayal.	imagination.
5ayal.	imagination.
DDo.	light.
Daw2.	light.
ibda3.	creativity.
ibdaa3.	creativity.
jamal.	beauty.
jamaal.	beauty.
raw3a.	magnificence.
chaa3ir.	poet.
cha3ir.	poet.
kaatib.	writer.
katib.	writer.
riwa2i.	novelist.
riwaa2i.	novelist.
mokhrij.	film director.
mo5rij.	film director.
momttil.	actor.
momtil.	actor.
mo2llif.	author.
mo2allif.	author.
mo2lif.	author.
8ndasa.	engineering.
8andasa.	engineering.
rasm.	drawing.
n7t.	sculpture.
na7t.	sculpture.
ne7t.	sculpture.
mt7f.	museum.
mot7af.	museum.
Tbl.	drum.
Tbel.	drum.
Tbal.	drum.
piano.	piano.
guitar.	guitar.
gitar.	guitar.
nghma.	tone.
neghma.	tone.
naghma.	tone.
osloub.	style.
oslob.	style.
ofo9i.	horizontal.
ofoqi.	horizontal.
3amoudi.	vertical.
3amodi.	vertical.
chm3a.	candle.
cham3a.	candle.
chem3a.	candle.
nsijam.	harmony.
insijam.	harmony.
tze3zi3.	vibration.
tza3zi3.	vibration.
tz3zi3.	vibration.
i9a3.	rhythm.
iy9a3.	rhythm.
iqa3.	rhythm.
t2tir.	impression.
ta2tir.	impression.
ta2thir.	impression.
te2tir.	impression.
t2Tir.	supervising.
ta2Tir.	supervising.
te2Tir.	supervising.
tSmim.	design.
taSmim.	design.
t3bir.	expression.
te3bir.	expression.
ta3bir.	expression.
taabir.	expression.
ti9nia.	technique.
tiqnia.	technique.
tikrar.	repetition.
m3awda.	repetition.
tamatoul.	symmetry.
tamatol.	symmetry.
tamathoul.	symmetry.
bou3d.	dimension.
bo3d.	dimension.
bo3d.	remote.
masafa.	distance.
massafa.	distance.
gnTra.	bridge.
ganTra.	bridge.
guenTra.	bridge.
khTT.	line.
khaTT.	line.
kheTT.	line.
morbba3.	square.
morba3.	square.
morbba3.	square.
dwwara.	circle.
da2ira.	circle.
motllat.	triangle.
motlat.	triangle.
mostaTil.	rectangle.
n9Ta.	point.
no9Ta.	point.
Sout.	voice.
Saout.	voice.
zwin.	beautiful.
zwen.	beautiful.
zin.	beauty.
khayal.	fiction.
5ayal.	fiction.
chacha.	screen.
chaacha.	screen.
koumidia.	comedy.
koumidya.	comedy.
comedia.	comedy.
komidia.	comedy.
taarikhi.	historical.
tarikhi.	historical.
tari5i.	historical.
taari5i.	historical.
Sout.	sound.
Sawt.	sound.
Saout.	sound.
Sot.	sound.
adat.	instrument.
adaat.	instrument.
m3riD.	exhibition.
ma3riD.	exhibition.
mi8rajan.	festival.
mihrajan.	festival.
makiaj.	makeup.
makyaj.	makeup.
baTal.	hero.
ch3bi.	popular.
che3bi.	popular.
cha3bi.	popular.
riwaya.	novel.
